Vehicle	Type	Style	Color	Item	Cost	Date	Odometer(km)	Description
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Other	$5.00	2023-10-15	87751	replace key fob battery cr2025
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Other	$400.00	2023-10-15	87751	replace new key
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Other	$20.00	2023-07-19	86900	replace rear left/right indicator light
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Battery	$400.00	2023-07-05	86846	replace battery H4C759132 0048 536073 (2017) with H4C237161 0383 536073 (2022)
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Serpentine belt	$75.00	2023-05-21	85692	renewed with Gaiter Micro-V 85B5 1765B
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	air filter	$20.00	2023-05-21	85692	renewed with MANN Filter C2287
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	combination filter	$55.00	2023-05-21	85692	renewed with MANN Filter FP 4054
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	spark plug	$40.00	2023-05-21	85692	size8 28nm NGK 4293 BKR6EZB
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Brake fluid	$20.00	2023-05-21	85692	renewed with Penrite super dot 4
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	engine oil and filter	$80.00	2023-05-21	85692	renewed (Penrite Outback Hardened 4x4 Petrol Engine Oil 10W-40), 25nm filter(Ryco R2634P), 30nm sump bolt
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	engine oil and filter	$80.00	2022-05-30	78577	renewed (Penrite Outback Hardened 4x4 Petrol Engine Oil 10W-40), 25nm filter(Ryco R2634P), 30nm sump bolt
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	new tyre	$1,000.00	2022-04-08	78100	4x new (CONTIMAXCONTACT MC6 FR 215/45R17 91W)
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	wheel	$800.00	2022-03-17	78000	replace left rear broken rim， 130nm
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Other	$10.00	2022-03-17	78000	replace low beam headlight
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	brake	$1,200.00	2022-02-07	77298	"replace with dba 2693E
replace with bendix db2233
replace with dba 2693E
replace with bendix db2020"
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Coolant	$200.00	2021-06-08	75902	flush with 15L Nulon Radiator & Cooling System Water (RCSW), Penrite Radiator Flush, 10L Nulon Blue Premium Long Life Pre-Mix Coolant (BLLTU)
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	transmission fluid and filter	$300.00	2021-06-02	75872	renew fluid (4L atf 28-cvt) and new gasket, 8x 7nm new pan bolt
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	engine oil and filter	$80.00	2021-05-26	75828	renewed (Penrite HPR 5 SAE 5W-40), 25nm filter(Ryco R2634P), 30nm sump bolt
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	brake fluid	$20.00	2021-05-22	75823	renewed (Penrite super dot 4)
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Cabin Air Filter	$65.00	2021-05-21	75821	combination filter renewed (Ryco rca231c)
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	tyre	$750.00	2021-05-15	75821	3x new (ContiSportContact 5 215/45/17)
2010 MERCEDES BENZ B200 2.0L W245	M266.960	HATCH	SILVER	Other	$50.00	2021-03-14	74613	front right cv joint boot renewed
